2026 Season - All Meets & Assignments,,,,,,,,,,
,,,,,,,,,,
Week,Event,Date,Type,Lead,Color,,Producer,Status,Talent grooup chat ,Available Talent
Week 9,WEST CHESTER: Feb 28 vs University of Bridgeport -,Feb 28,WAG,Tiara DeTommaso,Jordan Coleman,,Isaac,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 10,CENTENARY: Mar 06 vs Fisk,Mar 06,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 10,RHODE ISLAND COLLEGE: Mar 07 vs NCGA East Champion,Mar 07,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 10,WINONA STATE: Mar 07 vs WIAC Championships - TBD C,Mar 07,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
,NCAG East - 12pm CT,Mar 07,WAG,Baely Rowe,Sara King,Group Chat started,"Sent Message for Site Eval - not sure on ipads, owen techinal, should they do ipads? - indivudal streams? not promised.... use youtube as output. RTMP via we can use that",,,
Week 10,ARMY: Mar 07 vs Greenville & Springfeild - 12pm CT,Mar 07,MAG,Dan Columb,Taylor Christopulos,Sent Session ,"Talked to Jake, Wedneday site eval",Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 10,WILLIAM & MARY: Mar 07 vs Navy - 2:00 PM ET,Mar 07,MAG,Christian Marsh,Nate Salsman ,,Email,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 10,SIMPSON: Mar 07 vs Nebraska - 4pm CT,Mar 07,MAG,Zac Tiderman,Amari Sewell,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
,Pink Invitational - 5pm CT ,Mar 07,WAG,Trinity Thomas,n/a,,Wednesday is the site eval........ Need to make it look like the pink meet,,,
,ISLA HBCU - MARCH 8TH AT 1PM CT,Mar 08,WAG,Tavia Smith,Michelle Andrews,,Isaac - need to make a chat group with them to make sure everyone has the event. Starting a group chat with them ,,,
Week 11,WILLIAM AND MARY: Mar 12 vs Alaska - 6:30 PM ET,Mar 12,WAG,Andrea Maldonado,Silje Hildebrand,,Need to make it look like the pink meet,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,SPRINGFIELD: Mar 14 vs Navy - 1:00 PM ET,Mar 14,MAG,Timothy Templeton,Jack Vollo ,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,STANFORD: Mar 14 vs Team France,Mar 14,MAG,Ian/Brody,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,WILLIAM & MARY: Mar 14 vs Simpson - 2:00 PM ET,Mar 14,MAG,Ian Cree,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,WEST CHESTER: Mar 14 vs Cornell University - 11:00,Mar 14,WAG,Tiara DeTommaso,Alaina Steinberg,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,WILLIAM AND MARY: Mar 14 vs Alaska - 2:00 PM ET,Mar 14,WAG,Natalie Horowitz,Silje Hildebrand,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 11,BRIDGEPORT: Mar 15 vs SCSU,Mar 15,WAG,n/a,n/a,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 12,SEMO: Mar 20 vs MIC Championships - 6:00 PM CT,Mar 20,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 12,AIR FORCE: Mar 20 vs USAG Team Finals - TBD MT,Mar 20,MAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 12,CORTLAND: Mar 20 vs NCGA Championship - 2:00 PM ET,Mar 20,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 12,CAL: Mar 21 vs Oklahoma - 4:00 PM PT,Mar 21,MAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 12,AIR FORCE: Mar 21 vs USAG Event Finals - 1:00 PM M,Mar 21,MAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Ashley Jessen, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 13,WEST CHESTER: Mar 27 vs WCGNIC Day 1 - TBA ET,Mar 27,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 13,WEST CHESTER: Mar 28 vs WCGNIC Day 2 - TBA ET,Mar 28,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 13,WEST CHESTER: Mar 29 vs WCGNIC Day 3 - TBA ET,Mar 29,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 14,CAL: Apr 04 vs Air Force,Apr 04,MAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 14,ARMY: Apr 04 vs ECAC Championships - 1:00 PM ET,Apr 04,MAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
