2026 Season - All Meets & Assignments,,,,,,,,,,
,,,,,,,,,,
Week,Event,Date,Type,Lead,Color,,Producer,Status,Talent grooup chat ,Available Talent
Week 3,ITHACA: Jan 18 vs Ursinus College - 1:00 PM ET,Jan 18,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,WINONA STATE: Jan 23 vs UW-Stout - 6:00 PM CT,Jan 23,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,WCU vs W&M @ 11:30 CT,Jan 24,WAG,Tiara DeTommaso,Nate Salsman,,Isaac,,,
Week 4,STANFORD: Jan 24 vs Stanford Open - 7:00 PM PT,Jan 24,MAG,taylor,Khoi,,Isaac,Ambert is doing,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,SIMPSON: Jan 24 vs Army - 6:30 PM CT,Jan 24,MAG,Yarosalv,David,,CANCELED,Sent Message for Site eval ,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,GREENVILLE: Jan 24 vs Centenary College (Louisiana,Jan 24,WAG,Baely,Tavia,,CANCELED,Canceled,Done,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,SIMPSON: Jan 24 vs Wis.-La Crosse - 2:00 PM CT,Jan 24,WAG,Kelesy Boychuck,Andrea Maldonado,,Kyle,Needs Activiation Qr Code,Done,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,WILLIAM AND MARY: Jan 25 vs Southern Connecticut S,Jan 25,WAG,CANCELED,CANCELED,,CANCELED,Sent Message for Site eval ,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Ashley Jessen, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,NAVY: Jan 24 vs Navy Open - 2:00 PM ET,Jan 24,MAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,BRIDGEPORT: Jan 24 vs Brown,Jan 24,WAG,N/a,N/a,,Isaac ,Needs Activiation Qr Code,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
